household_key,numBaskets,week,eggPurchase_week0,eggPurchase_week1,eggPurchase_week2,eggPurchase_week3,MARITAL_STATUS_CODE,AGE_DESC,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,avgBasketLoyaltyDiscount,avgSpendAmtPerBasket
37,85,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-5.89058823529,43.5035294118
38,9,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.605,41.59
39,509,Week of 704,0.0,0.0,0.0,0.0,A,35-44,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,-10.5309090909,70.0204545455
40,1031,Week of 704,1.0,1.0,1.0,1.0,U,45-54,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,-3.59273684211,29.7693617021
41,450,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-8.17592592593,56.2222222222
42,231,Week of 704,1.0,0.0,0.0,1.0,U,65+,50-74K,Unknown,Single Male,1,None/Unknown,-5.77608695652,26.3513043478
43,35,Week of 704,0.0,0.0,0.0,0.0,B,35-44,15-24K,Homeowner,2 Adults Kids,5+,3+,-0.716875,4.70066666667
44,69,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.96166666667,40.0933333333
45,5,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.045,6.13
46,747,Week of 704,0.0,1.0,0.0,0.0,A,45-54,150-174K,Homeowner,2 Adults Kids,5+,3+,-8.93672131148,53.8281967213
47,153,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-2.335,19.31
48,97,Week of 704,0.0,0.0,0.0,0.0,U,19-24,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-4.94357142857,27.38
49,562,Week of 704,0.0,0.0,1.0,0.0,A,35-44,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-16.0242105263,66.0547368421
50,59,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-6.1,47.905
51,220,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-5.50944444444,48.9588888889
52,562,Week of 704,0.0,1.0,0.0,0.0,B,45-54,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-4.92942857143,49.3825714286
53,150,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.22,36.226
55,92,Week of 704,0.0,0.0,0.0,0.0,A,65+,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-1.44783783784,7.44945945946
56,648,Week of 704,0.0,0.0,0.0,0.0,A,55-64,100-124K,Homeowner,2 Adults Kids,4,2,-5.49446153846,32.7872307692
57,268,Week of 704,0.0,0.0,0.0,0.0,B,45-54,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-1.75818181818,11.9296969697
58,893,Week of 704,0.0,0.0,1.0,0.0,A,25-34,150-174K,Homeowner,2 Adults Kids,4,2,-6.6455,44.934
59,118,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-10.9881818182,49.8890909091
60,2,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,0.0,4.18
61,3,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.75,6.76
62,65,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.93,10.7788888889
63,23,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.33,13.6325
64,561,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.04044247788,13.2328318584
65,152,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.98459459459,12.2435135135
66,28,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-4.61333333333,23.77
67,1139,Week of 704,0.0,0.0,1.0,0.0,A,45-54,Under 15K,Homeowner,2 Adults Kids,5+,3+,-9.22933333333,48.8178651685
68,584,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-1.91133858268,11.1715873016
69,763,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.57380952381,25.7407142857
71,160,Week of 704,0.0,0.0,0.0,0.0,A,35-44,25-34K,Homeowner,Single Female,2,None/Unknown,-6.93227272727,29.3190909091
72,655,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-13.0029411765,103.97
73,69,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.32916666667,21.4666666667
74,127,Week of 704,0.0,0.0,0.0,0.0,A,65+,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,-3.69615384615,18.4392307692
75,55,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.89777777778,10.9
76,13,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.66,20.2
77,720,Week of 704,1.0,0.0,0.0,0.0,A,35-44,100-124K,Homeowner,2 Adults Kids,5+,3+,-17.2813043478,91.8634782609
78,451,Week of 704,0.0,1.0,1.0,0.0,U,55-64,25-34K,Unknown,Single Male,1,None/Unknown,-2.23710843373,13.928313253
79,317,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.80666666667,33.1683333333
80,453,Week of 704,0.0,0.0,0.0,0.0,U,45-54,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-10.83,43.926875
81,118,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.15217391304,14.1613043478
82,30,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.876428571429,8.18285714286
83,89,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-1.5978125,10.5434375
84,148,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.33523809524,20.0333333333
85,201,Week of 704,0.0,0.0,0.0,0.0,U,25-34,35-49K,Unknown,Single Male,1,None/Unknown,-3.24351351351,20.3051351351
86,292,Week of 704,0.0,0.0,0.0,0.0,B,65+,35-49K,Homeowner,Single Male,1,None/Unknown,-18.32,145.49
87,125,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.11375,29.461875
88,1309,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-9.62916666667,53.4405
90,66,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-5.19,58.81
91,331,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-1.7340625,15.7703125
92,360,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-10.6185714286,48.8971428571
93,87,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.60555555556,28.3022222222
94,47,Week of 704,1.0,0.0,0.0,1.0,,,,,,,,-2.99833333333,12.9725
95,628,Week of 704,0.0,1.0,0.0,1.0,,,,,,,,-7.01689189189,29.6217567568
97,515,Week of 704,0.0,0.0,0.0,1.0,U,45-54,75-99K,Unknown,Single Female,1,None/Unknown,-8.56848484848,39.5993939394
98,662,Week of 704,0.0,0.0,0.0,0.0,U,35-44,35-49K,Unknown,1 Adult Kids,2,1,-2.65675925926,15.9335185185
99,700,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.84714285714,35.5073214286
100,155,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-11.7471428571,73.06
101,479,Week of 704,0.0,0.0,0.0,0.0,A,45-54,Under 15K,Homeowner,2 Adults Kids,4,2,-10.4724418605,35.228255814
103,25,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.44125,8.91125
104,901,Week of 704,0.0,0.0,0.0,0.0,A,35-44,35-49K,Homeowner,2 Adults Kids,5+,3+,-14.5879069767,69.7830232558
105,464,Week of 704,0.0,1.0,1.0,1.0,B,25-34,Under 15K,Homeowner,1 Adult Kids,3,2,-4.6193220339,19.8352542373
106,323,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-3.94722222222,31.2469444444
107,40,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.525,31.535
108,122,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.91454545455,31.7745454545
109,519,Week of 704,0.0,0.0,0.0,0.0,A,25-34,15-24K,Homeowner,Single Female,2,None/Unknown,-3.78444444444,34.5886111111
110,352,Week of 704,0.0,0.0,0.0,0.0,U,25-34,35-49K,Homeowner,Single Female,1,None/Unknown,-3.26325,20.87
111,48,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.13285714286,23.3128571429
112,35,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.716,10.8333333333
113,1304,Week of 704,0.0,0.0,0.0,0.0,A,35-44,125-149K,Homeowner,2 Adults Kids,4,2,-13.4662222222,93.3666666667
114,219,Week of 704,0.0,0.0,0.0,0.0,U,25-34,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-6.35157894737,46.6952631579
115,800,Week of 704,1.0,0.0,0.0,0.0,,,,,,,,-10.0168181818,68.5265909091
116,94,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-3.21727272727,10.6714285714
117,329,Week of 704,1.0,0.0,0.0,1.0,B,65+,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,-5.38363636364,29.6972727273
118,577,Week of 704,1.0,0.0,1.0,0.0,B,45-54,35-49K,Homeowner,Single Female,1,None/Unknown,-9.28428571429,77.4176190476
119,285,Week of 704,0.0,1.0,0.0,0.0,U,45-54,125-149K,Unknown,Single Male,1,None/Unknown,-3.32681818182,45.4609090909
120,2,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.09,6.87
121,102,Week of 704,0.0,0.0,0.0,0.0,U,45-54,25-34K,Unknown,2 Adults Kids,3,1,-3.2075,22.09125
122,79,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.71428571429,11.6538095238
123,276,Week of 704,0.0,1.0,0.0,1.0,B,45-54,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-4.25,20.8182051282
124,53,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-0.865882352941,8.60823529412
125,570,Week of 704,1.0,0.0,1.0,0.0,,,,,,,,-6.78256756757,30.5586486486
126,129,Week of 704,1.0,0.0,0.0,0.0,,,,,,,,-9.04555555556,46.1522222222
127,549,Week of 704,0.0,0.0,0.0,0.0,U,45-54,25-34K,Unknown,Single Female,1,None/Unknown,-9.32474576271,35.2806779661
128,316,Week of 704,1.0,0.0,1.0,0.0,,,,,,,,-5.13846153846,34.1038461538
129,91,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.13615384615,12.9884615385
131,427,Week of 704,0.0,0.0,0.0,0.0,U,45-54,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,-5.95914893617,26.7868085106
132,258,Week of 704,0.0,1.0,1.0,0.0,,,,,,,,-5.084,33.7105
133,378,Week of 704,0.0,0.0,0.0,0.0,A,45-54,Under 15K,Homeowner,Single Male,2,None/Unknown,-9.33043478261,57.4347826087
134,433,Week of 704,0.0,0.0,0.0,0.0,A,55-64,25-34K,Homeowner,Single Female,2,None/Unknown,-15.6626315789,95.1947368421
135,86,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-0.996896551724,8.19172413793
136,206,Week of 704,0.0,0.0,0.0,0.0,U,45-54,50-74K,Unknown,Unknown,1,None/Unknown,-5.24772727273,26.2195454545
137,13,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.97,16.5466666667
138,379,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.67392857143,45.9203571429
139,409,Week of 704,0.0,0.0,0.0,1.0,B,35-44,75-99K,Homeowner,Single Male,1,None/Unknown,-6.23571428571,41.6121428571
140,62,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.14142857143,14.2378571429
141,54,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.12214285714,9.53928571429
142,166,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.61488372093,14.0293023256
143,249,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.47642857143,17.0664285714
144,36,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.54444444444,17.52
145,154,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-9.56294117647,35.3935294118
146,68,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-6.144,43.396
147,147,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-18.52375,51.61125
148,152,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-3.12947368421,31.1457894737
149,835,Week of 704,0.0,0.0,0.0,0.0,U,45-54,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-6.91256410256,71.1405128205
150,1,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.4,4.99
151,62,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-10.2528571429,38.7857142857
152,132,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-12.33125,57.56625
153,348,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.73653846154,22.945
154,45,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.348,28.134
155,141,Week of 704,0.0,0.0,0.0,0.0,B,35-44,50-74K,Homeowner,2 Adults Kids,3,1,-4.37916666667,36.1591666667
156,255,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-1.16304347826,6.955
157,228,Week of 704,0.0,1.0,0.0,0.0,U,19-24,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,-2.22119047619,17.4083333333
158,150,Week of 704,0.0,0.0,1.0,0.0,U,45-54,50-74K,Homeowner,Unknown,1,None/Unknown,-2.27457627119,7.86894736842
159,421,Week of 704,0.0,1.0,0.0,0.0,U,45-54,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,-4.62714285714,28.7508571429
160,203,Week of 704,1.0,0.0,1.0,0.0,,,,,,,,-3.97818181818,28.4118181818
161,1154,Week of 704,0.0,0.0,0.0,1.0,A,19-24,75-99K,Unknown,2 Adults Kids,3,1,-5.05833333333,28.7829166667
162,313,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.58727272727,49.6231818182
163,8,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-0.34,3.42666666667
164,667,Week of 704,0.0,1.0,0.0,0.0,U,45-54,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,-9.74815789474,49.7339473684
165,252,Week of 704,1.0,0.0,1.0,0.0,A,55-64,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-5.62340909091,19.6113953488
166,318,Week of 704,0.0,1.0,0.0,0.0,A,25-34,50-74K,Homeowner,2 Adults Kids,3,1,-3.5330952381,27.9128571429
167,197,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-8.08444444444,87.1722222222
168,15,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.055,11.25
169,6,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.17,7.81
170,292,Week of 704,0.0,0.0,0.0,0.0,A,25-34,100-124K,Homeowner,2 Adults Kids,4,2,-13.5966666667,61.3626666667
171,240,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-9.39818181818,50.3772727273
172,72,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.34384615385,21.3323076923
174,30,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-12.25,101.85
175,123,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.63666666667,39.8622222222
176,47,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.1075,37.1525
177,107,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.342,23.0413333333
178,331,Week of 704,0.0,1.0,0.0,0.0,A,25-34,25-34K,Homeowner,1 Adult Kids,5+,3+,-2.09722222222,10.2692222222
179,17,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.34,57.42
180,97,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-7.08,32.2881818182
181,116,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-10.086,58.19
182,137,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.58833333333,33.695
183,54,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.132,7.317
184,481,Week of 704,0.0,0.0,0.0,1.0,U,45-54,25-34K,Unknown,Single Male,1,None/Unknown,-3.77324675325,24.0051948052
185,218,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-12.7171428571,51.885
187,31,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.115,6.99428571429
188,35,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.19857142857,10.1814285714
189,63,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.63647058824,14.2770588235
190,30,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.33,30.22
191,94,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-4.51866666667,20.6693333333
192,343,Week of 704,0.0,0.0,1.0,0.0,A,45-54,35-49K,Homeowner,Single Male,2,None/Unknown,-5.093,38.352
193,168,Week of 704,0.0,0.0,0.0,0.0,A,45-54,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,-5.43952380952,34.7119047619
194,167,Week of 704,0.0,0.0,0.0,1.0,,,,,,,,-3.22058823529,28.5364705882
195,241,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-16.9427272727,74.94
196,529,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-9.14764705882,47.2017647059
197,297,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.782,38.2924
198,637,Week of 704,0.0,0.0,0.0,0.0,A,35-44,Under 15K,Homeowner,2 Adults Kids,3,1,-8.29479166667,46.3320833333
199,87,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.16266666667,24.5533333333
200,203,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.70703703704,10.9105555556
201,338,Week of 704,0.0,0.0,0.0,0.0,A,45-54,15-24K,Homeowner,2 Adults Kids,5+,3+,-5.92648648649,31.6648648649
202,68,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-15.358,63.426
203,21,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.02666666667,9.38333333333
204,78,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.26421052632,11.4484210526
205,491,Week of 704,1.0,1.0,0.0,0.0,,,,,,,,-5.03468085106,39.9068085106
206,9,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.18,18.04
207,145,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.806,34.774
208,411,Week of 704,0.0,0.0,1.0,0.0,U,45-54,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-10.2414705882,43.0167647059
209,584,Week of 704,0.0,0.0,1.0,0.0,U,45-54,25-34K,Homeowner,2 Adults Kids,3,1,-9.03590909091,51.0602325581
210,517,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.5948,27.4306
211,249,Week of 704,0.0,0.0,0.0,0.0,A,65+,35-49K,Homeowner,Single Female,2,None/Unknown,-2.0602,13.8858
212,278,Week of 704,0.0,0.0,0.0,0.0,U,35-44,Under 15K,Unknown,Single Female,1,None/Unknown,-4.40689655172,28.2462068966
213,7,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.89,38.77
214,354,Week of 704,0.0,0.0,0.0,1.0,B,55-64,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,-5.76866666667,33.627
215,335,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.28254545455,13.2923636364
216,235,Week of 704,0.0,0.0,0.0,0.0,U,35-44,50-74K,Homeowner,Unknown,1,None/Unknown,-2.72043478261,19.2136956522
217,242,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-11.9908333333,59.8441666667
218,427,Week of 704,0.0,0.0,0.0,0.0,A,45-54,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,-11.0684,65.2016
219,1089,Week of 704,0.0,1.0,1.0,0.0,A,55-64,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,-6.84533333333,54.0522666667
220,158,Week of 704,0.0,0.0,0.0,0.0,A,45-54,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,-7.85357142857,38.6792857143
221,461,Week of 704,0.0,0.0,0.0,0.0,U,65+,15-24K,Unknown,Unknown,1,None/Unknown,-8.79814814815,44.3481481481
222,523,Week of 704,0.0,0.0,0.0,0.0,A,35-44,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,-6.46222222222,50.327037037
223,127,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.24962962963,18.2592592593
224,179,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-7.75,29.2563636364
225,54,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.51,16.9711111111
226,60,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-8.135,35.06
227,339,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-6.29489361702,16.5787234043
228,215,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.39115384615,20.5424
229,72,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-4.73181818182,23.6163636364
230,608,Week of 704,0.0,0.0,0.0,0.0,U,25-34,25-34K,Unknown,Single Female,1,None/Unknown,-5.59796296296,29.6183333333
232,570,Week of 704,0.0,0.0,0.0,0.0,U,35-44,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,-6.61434782609,37.1136956522
233,145,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-9.84555555556,74.3544444444
234,10,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.06333333333,9.73
235,549,Week of 704,0.0,1.0,0.0,0.0,A,35-44,250K+,Homeowner,2 Adults Kids,5+,3+,-6.1525,59.66675
236,98,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-8.14416666667,37.3183333333
237,34,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-9.17,95.95
238,64,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-3.60875,22.6175
239,927,Week of 704,1.0,0.0,1.0,0.0,U,45-54,50-74K,Renter,Unknown,1,None/Unknown,-4.47430555556,26.5569444444
240,66,Week of 704,1.0,0.0,0.0,1.0,,,,,,,,-4.53214285714,17.8742857143
241,11,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-1.0,12.13
242,462,Week of 704,0.0,0.0,0.0,0.0,A,45-54,75-99K,Homeowner,2 Adults Kids,5+,3+,-7.88703703704,59.2140740741
243,670,Week of 704,0.0,0.0,0.0,0.0,U,65+,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-3.50053571429,36.2680357143
244,278,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-8.131,65.022
245,169,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-16.02,58.5416666667
246,58,Week of 704,0.0,0.0,1.0,0.0,,,,,,,,-2.1475,17.265
247,332,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-2.56,23.9751351351
248,848,Week of 704,1.0,0.0,1.0,0.0,A,35-44,125-149K,Homeowner,2 Adults Kids,4,2,-22.296,106.055
249,556,Week of 704,0.0,0.0,0.0,0.0,A,35-44,Under 15K,Renter,Unknown,3,1,-5.01210526316,23.9052631579
250,854,Week of 704,0.0,0.0,0.0,1.0,A,45-54,75-99K,Homeowner,1 Adult Kids,4,2,-7.46102040816,62.9418367347
251,143,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-5.08388888889,30.4188888889
253,1091,Week of 704,0.0,1.0,1.0,0.0,U,45-54,Under 15K,Unknown,Single Female,1,None/Unknown,-9.75416666667,46.7713888889
254,93,Week of 704,0.0,1.0,0.0,0.0,,,,,,,,-2.30941176471,15.9929411765
255,52,Week of 704,0.0,0.0,0.0,0.0,,,,,,,,-11.322,51.074
256,642,Week of 704,0.0,0.0,0.0,1.0,U,25-34,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,-7.2175862069,79.5824137931
